Epoch	Train_Loss	Val_Loss	Val_Acc
1	1.1712	1.0010	63.89
2	0.8510	0.7877	72.22
3	0.6068	0.5742	81.94
4	0.4357	0.4686	86.11
5	0.2908	0.3716	90.28
6	0.2248	0.3239	93.06
7	0.2001	0.3210	91.67
8	0.1479	0.3387	90.28
9	0.1110	0.3115	94.44
10	0.0789	0.3217	94.44
11	0.0745	0.2949	93.06
12	0.0695	0.3689	91.67
